provincia_siis_id,siis_id,nombre
1,1,RESISTENCIA
1,2,BARRANQUERAS
1,3,PUERTO VILELAS
1,4,FONTANA
1,5,BASAIL
1,6,COLONIA BENITEZ
1,7,MARGARITA BELEN
1,8,PUERTO TIROL
1,9,COLONIA POPULAR
1,10,LAGUNA BLANCA
1,11,LAPACHITO
1,12,MAKALLE
1,13,LA VERDE
1,14,LA ESCONDIDA
1,15,COLONIA ELISA
1,16,CAPITAN SOLARI
1,17,COLONIAS UNIDAS
1,18,LAS GARCITAS
1,19,PCIA. DE LA PLAZA
1,20,ISLA DEL CERRITO
1,21,LAS PALMAS
1,22,LA LEONESA
1,23,GENERAL VEDIA
1,24,PUERTO BERMEJO
1,25,LA EDUVIGIS
1,26,PAMPA ALMIRON
1,27,GENERAL J. DE SAN MARTIN
1,28,PRESIDENCIA ROCA
1,29,PAMPA DEL INDIO
1,30,LAGUNA LIMPIA
1,31,CIERVO PETISO
1,32,COTE LAI
1,33,CHARADAI
1,34,VILLA BERTHET
1,35,SAMUHU
1,36,ENRIQUE URIEN
1,37,VILLA ANGELA
1,38,CORONEL DU GRATY
1,39,SAN BERNARDO
1,40,LA CLOTILDE
1,41,LA TIGRA
1,42,PRESIDENCIA ROQUE SAENZ PEÑA
1,43,QUITILIPI
1,44,MACHAGAI
1,45,TRES ISLETAS
1,46,NAPENAY
1,47,AVIA TERAI
1,48,CAMPO LARGO
1,49,CORZUELA
1,50,LAS BRENAS
1,51,CHARATA
1,52,GENERAL PINEDO
1,53,GENERAL CAPDEVILA
1,54,GANCEDO
1,55,HERMOSO CAMPO
1,56,SANTA SYLVINA
1,57,CONCEPCION DEL BERMEJO
1,58,PAMPA DEL INFIERNO
1,59,LOS FRENTONES
1,60,TACO POZO
1,61,EL SAUZALITO
1,62,MISION NUEVA POMPEYA
1,63,FUERTE ESPERANZA
1,64,JUAN JOSE CASTELLI
1,65,CHOROTIS
1,66,PUERTO EVA PERON
1,67,MIRAFLORES
1,68,VILLA RIO BERMEJITO
1,69,RIO ARAZA
1,70,COLONIA BARANDA
1,71,MARIA SARA
1,72,EL PALMAR
1,73,ISLA ANTEQUERA
1,74,COSTA INE
1,75,COLONIA SAN MIGUEL
1,76,FORTIN CARDOZO
1,77,GENERAL OBLIGADO
1,78,SANTA ELENA
1,79,EL CURUNDU
1,81,COLONIA BRANSEN
1,82,HAUMONIA
1,83,EL TACURUZAL
1,84,MESON DE FIERRO
1,85,ITIN
1,86,ZUBERBUHLER
1,87,COLONIA ABORIGEN
1,88,PAMPA BANDERA
1,102,TROPEZON
1,103,COLONIA GALASI
1,105,LA LIGURIA
1,106,LA TOMA
1,120,LA EVANGELICA
1,121,LA GANADERA
1,122,LA PALOMETA
1,126,PUENTE INE
1,127,PUERTO ANTEQUERA
1,128,PUERTO BASTIANI
1,129,TRES HORQUETAS
1,130,VILLA JALON
1,132,SELVAS DEL RIO DE ORO
1,133,COLONIA SIETE ARBOLES
1,134,EL ZAPALLAR
1,135,PUERTO EL ZAPALLAR
1,137,COLONIA RODRIGUEZ PENA
1,138,LOS POZOS
1,139,ARBOL SOLO
1,144,LA CHOZA
1,146,LA NEGRA
1,147,LA SABANA
1,148,LA VICUNA
1,150,RIO TAPENAGA
1,151,CACUI
1,152,COLONIA MIXTA
1,153,LA ELABORADORA
1,154,PUERTO VICENTINI
1,155,INGENIERO BARBET
1,156,LA DIFICULTAD
1,157,LA PASTORIL
1,158,SALTO DE LA VIEJA
1,159,COLONIA TACUARI
1,160,LAS MERCEDES
1,162,PARALELO 28
1,163,CANCHA LARGA
1,164,COLONIA RIO DE ORO
1,165,EL LAPACHO
1,166,EL PALMAR (LAS PALMAS)
1,168,LAGUNA PATOS
1,169,PUERTO LAS PALMAS
1,170,QUIA
1,171,FLORODORA
1,172,EL RETIRO
1,173,SAN EDUARDO
1,174,TRES HORQUETAS
1,176,RIO BERMEJO
1,179,CAMPO FELDMAN
1,181,REDUCCION NAPALPI
1,182,COLONIA ABORIGEN CHACO
1,183,COLONIA BLAS PARERA
1,184,EL PALMAR (QUITILIPI)
1,186,NAPALPI
1,187,PAMPA VERDE
1,188,FORTIN AGUILAR
1,190,LA TAMBORA
1,191,LOTE 3 - ESCUELA 144
1,192,TRES PALMAS
1,193,COLONIA CORONEL BRANDSEN
1,194,COLONIA HIPOLITO VIEYTES
1,195,COLONIA SANTA ELENA
1,196,CUATRO ARBOLES
1,199,LAS BANDERAS
1,200,LOTE 4 (COLONIA PASTORIL)
1,201,WICHI EL PINTADO
1,202,COLONIA JOSE MARMOL
1,203,COMANDANCIA FRIAS
1,204,RIO MUERTO
1,205,PAMPA LANDRIEL
1,206,PARAJE LA NACION
1,207,PARAJE SANTA ELENA
1,208,PARAJE ZANATA
1,209,TRES ESTACAS
1,210,EL SAUZAL
1,211,EL ESPINILLO
1,212,EL PARAISAL
1,213,FORTIN LAVALLE
1,214,CAMPO LA AURORA
2,1,CORRIENTES CAPITAL
2,2,Goya
2,3,Paso de los Libres
2,4,MONTE CASEROS
2,5,ITUZAINGO
2,6,San Luis Del Palmar
2,7,Riachuelo
2,8,MBURUCUYA
2,9,SAN ROQUE
2,10,Paso de la Patria
2,11,MERCEDES
2,12,EMPEDRADO
2,13,Santo Tome
3,1,POSADAS
3,2,PUERTO IGUAZU
3,3,Puerto Rico
3,4,EL DORADO
4,1,FORMOSA
4,2,PATIÑO
4,3,CLORINDA
4,4,EL COLORADO
5,1,SANTA FE
5,2,ROSARIO
5,3,RECONQUISTA
5,4,VILLA OCAMPO
5,5,FLORENCIA
5,6,AVELLANEDA
5,7,CAÑADA DE GOMEZ
5,8,RAFAELA
5,9,SAN ANTONIO
5,10,Gobernador Galves
5,11,San Cristóbal
5,12,San Jerónimo
5,13,San Vicente
5,14,Sunchales
5,15,CERES
5,16,SANTO TOME
5,17,CASILDA
6,1,CORDOBA CAPITAL
6,2,RIO SEGUNDO
6,3,RIO CUARTO
6,4,LAS VARILLAS
6,5,Villa Dolores
6,6,Villa Maria
6,7,Villa Carlos Paz
6,8,JESUS MARIA
8,1,Rawson
9,1,MENDOZA
9,2,GODOY CRUZ
9,3,LUJAN DE CUYO
